epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.86737,0.99862,2.66296,1.23944,1,0.16604,0.938,0.74362,0.68781,2.35175,0.93878,0.00053344,0.00053344,0.00053344
2,13.4429,0.80654,1.48936,1.0544,0.76686,0.69532,0.87371,0.71495,0.69498,1.60075,0.96265,0.00106567,0.00106567,0.00106567
3,18.7614,0.88405,1.41087,1.11124,0.93792,0.9264,0.96809,0.75443,0.84559,1.18343,1.08409,0.00157975,0.00157975,0.00157975
4,24.1169,0.81597,1.25393,1.07598,0.91966,0.91917,0.95672,0.7929,0.71793,0.89282,0.97665,0.00158448,0.00158448,0.00158448
5,29.3613,0.78993,1.10863,1.06237,0.97326,0.91182,0.95227,0.79382,0.72781,0.95366,0.98426,0.00155698,0.00155698,0.00155698
6,34.5963,0.76919,1.01508,1.05544,0.81069,0.85228,0.92079,0.66673,0.93817,1.15227,1.13747,0.00152947,0.00152947,0.00152947
7,39.835,0.78855,0.91228,1.06606,0.97617,0.96889,0.98066,0.80091,0.6931,0.71643,0.97306,0.00150197,0.00150197,0.00150197
8,45.0881,0.7665,0.84738,1.04655,0.99512,0.99287,0.99302,0.84534,0.61393,0.51978,0.91445,0.00147446,0.00147446,0.00147446
9,50.3476,0.74562,0.76485,1.03672,0.99318,0.98958,0.99005,0.84989,0.58723,0.46469,0.89909,0.00144696,0.00144696,0.00144696
10,55.5634,0.72279,0.74586,1.01114,0.9249,0.7926,0.89713,0.70868,0.76721,0.93412,1.02033,0.00141945,0.00141945,0.00141945
11,60.7028,0.72356,0.70999,1.01878,0.98129,0.98551,0.99415,0.84735,0.59005,0.47774,0.8971,0.00139195,0.00139195,0.00139195
12,66.0002,0.70731,0.66584,1.0349,0.99069,0.96185,0.98393,0.85666,0.57882,0.50107,0.92019,0.00136444,0.00136444,0.00136444
13,71.1726,0.71328,0.63405,1.00404,0.99276,0.97291,0.98894,0.85985,0.56989,0.42583,0.90557,0.00133693,0.00133693,0.00133693
14,76.3213,0.68846,0.58254,0.99595,0.96927,0.9796,0.99006,0.85955,0.56943,0.4193,0.89634,0.00130943,0.00130943,0.00130943
15,81.4979,0.68778,0.5985,0.99498,0.99816,0.99359,0.99494,0.87032,0.57717,0.39502,0.89501,0.00128192,0.00128192,0.00128192
16,86.7206,0.67151,0.56336,0.98546,0.95925,0.95513,0.98337,0.85774,0.56486,0.45947,0.8991,0.00125442,0.00125442,0.00125442
17,91.9512,0.65891,0.54963,0.98507,0.98688,0.9854,0.99384,0.87643,0.55331,0.36465,0.89213,0.00122691,0.00122691,0.00122691
18,97.1018,0.64407,0.52624,0.98426,0.98582,0.96857,0.98384,0.8555,0.57771,0.41322,0.89431,0.00119941,0.00119941,0.00119941
19,102.313,0.64684,0.5343,0.98204,0.99304,0.98426,0.99112,0.88068,0.51055,0.35796,0.87525,0.0011719,0.0011719,0.0011719
20,107.5,0.62755,0.51521,0.97529,0.99721,0.97498,0.98999,0.85268,0.60414,0.38656,0.90257,0.0011444,0.0011444,0.0011444
21,112.732,0.66725,0.52274,0.99778,0.98807,0.98918,0.99046,0.85629,0.56606,0.36782,0.8967,0.00111689,0.00111689,0.00111689
22,117.929,0.65085,0.50081,0.9957,0.99827,0.99917,0.995,0.87075,0.54086,0.32562,0.87721,0.00108938,0.00108938,0.00108938
23,123.205,0.64127,0.48315,0.98464,0.99367,0.99514,0.99494,0.86634,0.58351,0.35349,0.89774,0.00106188,0.00106188,0.00106188
24,128.45,0.66824,0.48529,0.98408,0.99351,0.99277,0.99009,0.87946,0.51491,0.33096,0.87598,0.00103437,0.00103437,0.00103437
25,133.647,0.63916,0.49868,0.98498,0.98936,0.98674,0.9905,0.88651,0.49575,0.33332,0.86485,0.00100687,0.00100687,0.00100687
26,138.849,0.60561,0.48144,0.96465,0.96158,0.96664,0.98344,0.88236,0.4953,0.3805,0.86627,0.000979362,0.000979362,0.000979362
27,144.051,0.61014,0.47376,0.96679,0.985,0.988,0.99103,0.88729,0.52104,0.32482,0.87267,0.000951857,0.000951857,0.000951857
28,149.264,0.60511,0.43892,0.95858,0.99292,0.99922,0.99468,0.87811,0.49836,0.31076,0.8653,0.000924352,0.000924352,0.000924352
29,154.465,0.60519,0.45116,0.96777,0.99787,0.99965,0.995,0.88577,0.49994,0.30147,0.86929,0.000896846,0.000896846,0.000896846
30,159.627,0.60008,0.45021,0.96499,0.98811,0.98061,0.99452,0.88381,0.51914,0.32552,0.87393,0.00086934,0.00086934,0.00086934
31,164.838,0.59185,0.42202,0.96232,0.99863,0.99359,0.99453,0.90651,0.49284,0.28569,0.86277,0.000841835,0.000841835,0.000841835
32,169.966,0.57494,0.4138,0.95558,0.99646,0.98718,0.991,0.89569,0.48146,0.2924,0.8631,0.000814329,0.000814329,0.000814329
33,175.181,0.55954,0.41788,0.95006,0.98966,0.99307,0.99256,0.89531,0.48433,0.29864,0.8631,0.000786824,0.000786824,0.000786824
34,180.348,0.60433,0.42599,0.96768,0.99157,0.99318,0.9909,0.89528,0.48881,0.2844,0.86254,0.000759318,0.000759318,0.000759318
35,185.519,0.58937,0.40789,0.94837,0.99316,0.98718,0.99197,0.88143,0.51442,0.30263,0.87026,0.000731813,0.000731813,0.000731813
36,190.713,0.57265,0.39698,0.94706,0.99559,0.99952,0.995,0.89598,0.5023,0.28008,0.8624,0.000704307,0.000704307,0.000704307
37,195.877,0.57907,0.40443,0.9536,0.99927,1,0.995,0.89793,0.48015,0.26633,0.85548,0.000676802,0.000676802,0.000676802
38,201.098,0.55417,0.38208,0.9464,0.99285,0.99658,0.99494,0.89877,0.48567,0.27551,0.85902,0.000649297,0.000649297,0.000649297
39,206.781,0.57233,0.38246,0.96262,0.9924,0.99359,0.99309,0.90223,0.50676,0.28488,0.86494,0.000621791,0.000621791,0.000621791
40,212.522,0.54951,0.37553,0.94912,0.9921,0.99304,0.99464,0.90181,0.48442,0.27424,0.86377,0.000594286,0.000594286,0.000594286
41,218.464,0.54729,0.37287,0.94051,0.99279,0.99359,0.99383,0.90006,0.49827,0.2781,0.86627,0.00056678,0.00056678,0.00056678
42,224.051,0.5509,0.37176,0.94574,0.99883,1,0.995,0.90603,0.48717,0.25625,0.86075,0.000539275,0.000539275,0.000539275
43,230.015,0.5376,0.35017,0.92968,0.99258,1,0.995,0.90461,0.48096,0.25205,0.85916,0.000511769,0.000511769,0.000511769
44,235.994,0.55223,0.3665,0.94359,0.98817,0.99255,0.9891,0.91261,0.46794,0.26484,0.85077,0.000484263,0.000484263,0.000484263
45,241.736,0.53487,0.3593,0.93694,0.97745,0.99261,0.98971,0.90587,0.4815,0.27708,0.85665,0.000456758,0.000456758,0.000456758
46,247.407,0.53493,0.35025,0.92735,0.99222,0.99301,0.99452,0.90718,0.46911,0.26405,0.8558,0.000429253,0.000429253,0.000429253
47,253.295,0.50946,0.34247,0.92756,0.99907,1,0.995,0.91475,0.46778,0.23905,0.85379,0.000401747,0.000401747,0.000401747
48,259.263,0.53654,0.36107,0.94544,0.99804,0.99974,0.995,0.90997,0.47267,0.24614,0.85844,0.000374242,0.000374242,0.000374242
49,264.833,0.51972,0.35038,0.93677,0.99856,0.9877,0.99494,0.91057,0.47159,0.25497,0.85579,0.000346736,0.000346736,0.000346736
50,270.401,0.49662,0.32997,0.93373,0.98881,0.99319,0.99362,0.90124,0.46949,0.25813,0.85683,0.000319231,0.000319231,0.000319231
51,294.778,0.40783,0.26245,0.8424,0.9899,0.99315,0.9923,0.9004,0.46446,0.25595,0.8539,0.000291725,0.000291725,0.000291725
52,300.34,0.41886,0.25673,0.85111,0.99096,0.99322,0.99378,0.90584,0.47142,0.24703,0.85718,0.00026422,0.00026422,0.00026422
53,306.033,0.39407,0.24687,0.84551,0.9833,0.99303,0.99363,0.91229,0.47621,0.26109,0.86,0.000236714,0.000236714,0.000236714
54,311.679,0.40003,0.25077,0.84996,0.98848,0.99936,0.995,0.90545,0.47138,0.23472,0.85791,0.000209209,0.000209209,0.000209209
55,317.449,0.39452,0.24167,0.84153,0.99436,0.99927,0.995,0.90712,0.46882,0.2405,0.8562,0.000181703,0.000181703,0.000181703
56,323.387,0.38814,0.24054,0.83605,0.99441,0.99874,0.995,0.90679,0.46542,0.23119,0.85292,0.000154198,0.000154198,0.000154198
57,329.018,0.38946,0.23614,0.85961,0.9979,0.99387,0.995,0.90991,0.46292,0.22779,0.85223,0.000126692,0.000126692,0.000126692
58,334.473,0.37708,0.23021,0.83628,0.98885,0.99941,0.995,0.90761,0.46039,0.22293,0.85025,9.91865e-05,9.91865e-05,9.91865e-05
59,339.861,0.36867,0.22351,0.827,0.98893,0.99929,0.995,0.90816,0.45464,0.22304,0.84879,7.1681e-05,7.1681e-05,7.1681e-05
60,345.452,0.37087,0.22998,0.84297,0.98913,0.99934,0.995,0.91003,0.4583,0.2251,0.84997,4.41755e-05,4.41755e-05,4.41755e-05
